Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Water",Ch1Negative Control,"16S","Manual",0.24,QX200 ddPCR EvaGreen Supermix,4.8,,,0.63,0.06,3,14830,3,0,14830,0,0,14833,,,,,,,,,,,,,,,,,,1,1,8322,13610,6866.7,6868,"",,,,0.41,0.12,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","SM-NT-A-2 (1:10)",Ch1Unknown,"16S","Manual",6280,QX200 ddPCR EvaGreen Supermix,125600,,,6600,6000,12263,59,12263,0,10,49,6280,12322,,,,,,,,0.97,,,1.03,0.9,49.1,,,50.9,47.4,1,1,8322,11802,6754.4,11778,"",,,,6440,6130,,,,,,,1.001,0.932,,,50,48.3,
"A03",Absolute Quantification,"ABS","SM-NT-A-2 (1:50)",Ch1Unknown,"16S","Manual",1066,QX200 ddPCR EvaGreen Supermix,21320,,,1091,1040,7181,4873,7181,0,156,4717,1070,12054,,,,,,,,0.965,,,0.998,0.933,49.1,,,50,48.3,1,1,8322,12146,6072.5,9691,"",,,,1079,1053,,,,,,,0.982,0.949,,,49.55,48.69,
"A04",Absolute Quantification,"ABS","SM-UN-U-1 (1:1000)",Ch1Unknown,"16S","Manual",56.1,QX200 ddPCR EvaGreen Supermix,1122,,,60.5,51.8,630,12889,630,0,19,12870,56.1,13519,,,,,,,,0.97,,,1.08,0.86,49.2,,,52,46.5,1,1,8322,12265,5818.4,6118.8,"",,,,58.4,53.9,,,,,,,1.02,0.92,,,50.6,47.8,
"A05",Absolute Quantification,"ABS","CREC-CT-U-2 (1:1000)",Ch1Unknown,"16S","Manual",101,QX200 ddPCR EvaGreen Supermix,2020,,,106,95,1208,13536,1208,0,48,13488,101,14744,,,,,,,,0.96,,,1.04,0.88,49,,,51,47,1,1,8322,12232,5653.8,6192.8,"",,,,103.5,97.7,,,,,,,0.999,0.921,,,50,48,
"A06",Absolute Quantification,"ABS","CREC-NT-U-1 (1:1000)",Ch1Unknown,"16S","Manual",99,QX200 ddPCR EvaGreen Supermix,1980,,,105,93,1117,12762,1117,0,45,12717,98.7,13879,,,,,,,,0.96,,,1.04,0.88,49,,,51,46.9,1,1,8322,12134,5457.2,5994.6,"",,,,101.7,95.8,,,,,,,1,0.919,,,50,47.9,
"A07",Absolute Quantification,"ABS","GR-NT-C-2 (1:1000)",Ch1Unknown,"16S","Manual",66.7,QX200 ddPCR EvaGreen Supermix,1334,,,71.5,62,761,13041,761,0,47,12994,66.7,13802,,,,,,,,0.94,,,1.03,0.85,48.5,,,50.9,46,1,1,8322,11981,5366,5730.7,"",,,,69.1,64.3,,,,,,,0.988,0.893,,,49.7,47.2,
"A08",Absolute Quantification,"ABS","GR-NT-S-1 (1:1000)",Ch1Unknown,"16S","Manual",88,QX200 ddPCR EvaGreen Supermix,1760,,,93,82,1041,13436,1041,0,75,13361,87.8,14477,,,,,,,,0.93,,,1.01,0.85,48.2,,,50.3,46.1,1,1,8322,12083,5374.2,5856.6,"",,,,90.5,85.1,,,,,,,0.97,0.89,,,49.3,47.1,
"A09",Absolute Quantification,"ABS","WO-NT-U-3 (1:1000)",Ch1Unknown,"16S","Manual",49.5,QX200 ddPCR EvaGreen Supermix,990,,,53.7,45.3,531,12356,531,0,36,12320,49.5,12887,,,,,,,,0.94,,,1.05,0.82,48.3,,,51.3,45.4,1,1,8322,12129,5323.7,5604.1,"",,,,51.7,47.4,,,,,,,0.99,0.88,,,49.8,46.8,
"B01",Absolute Quantification,"ABS","SM-CT-A-1 (1:10)",Ch1Unknown,"16S","Manual",4370,QX200 ddPCR EvaGreen Supermix,87400,,,4510,4240,11359,284,11222,137,0,284,3910,11643,,,,,,,,1.119,,,1.166,1.072,52.8,,,53.8,51.8,1,1,8322,11918,6887.4,11795,"",,,,4440,4300,,,,,,,1.143,1.095,,,53.3,52.3,
