Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","TE buffer",Ch1Negative Control,"dsrAB","OK",1.7,QX200 ddPCR EvaGreen Supermix,34,,,2.5,1.1,23,16036,,,,,,16059,,,,,,,,,,,,,,,,,,1,1,4646,5227.8,4324.3,4325.6,"",,,,2.06,1.36,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","SM-NT-A-1",Ch1Unknown,"dsrAB","OK",5.3,QX200 ddPCR EvaGreen Supermix,106,,,6.7,4.1,63,14035,,,,,,14098,,,,,,,,,,,,,,,,,,1,1,5670,10691,4048.7,4078.4,"",,,,6,4.6,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","SM-UN-U-2",Ch1Unknown,"dsrAB","OK",17.6,QX200 ddPCR EvaGreen Supermix,352,,,20,15.2,211,13989,,,,,,14200,,,,,,,,,,,,,,,,,,1,1,5692,10967,3935.2,4039.7,"",,,,18.8,16.4,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","CREC-MT-U-1",Ch1Unknown,"dsrAB","OK",32.2,QX200 ddPCR EvaGreen Supermix,644,,,35.4,29,392,14136,,,,,,14528,,,,,,,,,,,,,,,,,,1,1,5874,11871,3736.7,3956.2,"",,,,33.8,30.6,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","CREC-NT-U-2",Ch1Unknown,"dsrAB","OK",24.4,QX200 ddPCR EvaGreen Supermix,488,,,27.2,21.6,289,13791,,,,,,14080,,,,,,,,,,,,,,,,,,1,1,5637,11559,3585.9,3749.6,"",,,,25.8,23,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","GR-NT-C-2",Ch1Unknown,"dsrAB","OK",18.1,QX200 ddPCR EvaGreen Supermix,362,,,20.6,15.6,202,13055,,,,,,13257,,,,,,,,,,,,,,,,,,1,1,5514,11393,3513,3633.1,"",,,,19.3,16.8,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","GR-NT-S-3",Ch1Unknown,"dsrAB","OK",37.6,QX200 ddPCR EvaGreen Supermix,752,,,41.2,34.1,424,13044,,,,,,13468,,,,,,,,,,,,,,,,,,1,1,5600,11280,3457.5,3703.8,"",,,,39.5,35.8,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","WO-UN-U-1",Ch1Unknown,"dsrAB","OK",89,QX200 ddPCR EvaGreen Supermix,1780,,,94,83,1093,13980,,,,,,15073,,,,,,,,,,,,,,,,,,1,1,5921,11495,3475.4,4056.9,"",,,,91.2,85.9,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","SM-CT-A-1",Ch1Unknown,"dsrAB","OK",8,QX200 ddPCR EvaGreen Supermix,160,,,9.7,6.6,99,14425,,,,,,14524,,,,,,,,,,,,,,,,,,1,1,6065,11329,4342.9,4390.5,"",,,,8.9,7.3,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","SM-NT-A-2",Ch1Unknown,"dsrAB","OK",20.8,QX200 ddPCR EvaGreen Supermix,416,,,23.4,18.2,252,14130,,,,,,14382,,,,,,,,,,,,,,,,,,1,1,6004,11823,4078.5,4214.2,"",,,,22.1,19.5,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","SM-UN-U-3",Ch1Unknown,"dsrAB","OK",38.2,QX200 ddPCR EvaGreen Supermix,764,,,41.5,34.8,502,15222,,,,,,15724,,,,,,,,,,,,,,,,,,1,1,6043,11445,3916.9,4157.3,"",,,,39.9,36.5,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","CREC-MT-U-2",Ch1Unknown,"dsrAB","OK",39.2,QX200 ddPCR EvaGreen Supermix,784,,,42.8,35.7,463,13653,,,,,,14116,,,,,,,,,,,,,,,,,,1,1,6127,12147,3780.6,4055,"",,,,41.1,37.4,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","CREC-NT-U-3",Ch1Unknown,"dsrAB","OK",19.8,QX200 ddPCR EvaGreen Supermix,396,,,22.2,17.4,265,15628,,,,,,15893,,,,,,,,,,,,,,,,,,1,1,5574,11321,3601.3,3730,"",,,,21,18.6,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","GR-NT-C-3",Ch1Unknown,"dsrAB","OK",10.5,QX200 ddPCR EvaGreen Supermix,210,,,12.4,8.7,121,13440,,,,,,13561,,,,,,,,,,,,,,,,,,1,1,5289,10685,3522.3,3586.2,"",,,,11.5,9.6,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","WO-CT-U-1",Ch1Unknown,"dsrAB","OK",26.8,QX200 ddPCR EvaGreen Supermix,536,,,29.6,23.9,336,14592,,,,,,14928,,,,,,,,,,,,,,,,,,1,1,5584,11253,3589.3,3761.8,"",,,,28.2,25.3,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","WO-UN-U-1",Ch1Unknown,"dsrAB","OK",88,QX200 ddPCR EvaGreen Supermix,1760,,,93,82,1147,14852,,,,,,15999,,,,,,,,,,,,,,,,,,1,1,5906,11361,3458,4024.6,"",,,,90.1,84.9,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","SM-CT-A-2",Ch1Unknown,"dsrAB","OK",9.1,QX200 ddPCR EvaGreen Supermix,182,,,10.8,7.4,109,14012,,,,,,14121,,,,,,,,,,,,,,,,,,1,1,5973,11814,4216.1,4274.7,"",,,,10,8.2,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","SM-NT-A-3",Ch1Unknown,"dsrAB","OK",8.5,QX200 ddPCR EvaGreen Supermix,170,,,10.2,6.9,104,14296,,,,,,14400,,,,,,,,,,,,,,,,,,1,1,5790,10960,4029.5,4079.6,"",,,,9.4,7.7,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","CREC-CT-A-1",Ch1Unknown,"dsrAB","OK",27.8,QX200 ddPCR EvaGreen Supermix,556,,,30.6,24.9,365,15287,,,,,,15652,,,,,,,,,,,,,,,,,,1,1,5927,11759,3887.1,4070.7,"",,,,29.2,26.3,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","CREC-MT-U-3",Ch1Unknown,"dsrAB","OK",32.5,QX200 ddPCR EvaGreen Supermix,650,,,35.8,29.3,384,13709,,,,,,14093,,,,,,,,,,,,,,,,,,1,1,6135,12210,3719.4,3950.7,"",,,,34.2,30.8,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","CREC-UN-U-1",Ch1Unknown,"dsrAB","OK",59.2,QX200 ddPCR EvaGreen Supermix,1184,,,63.4,55.1,782,15140,,,,,,15922,,,,,,,,,,,,,,,,,,1,1,5965,11392,3613.7,3995.7,"",,,,61.4,57.1,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","GR-NT-F-1",Ch1Unknown,"dsrAB","OK",45.5,QX200 ddPCR EvaGreen Supermix,910,,,49.4,41.7,532,13481,,,,,,14013,,,,,,,,,,,,,,,,,,1,1,5922,11623,3648.7,3951.5,"",,,,47.5,43.6,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","WO-CT-U-2",Ch1Unknown,"dsrAB","OK",32.2,QX200 ddPCR EvaGreen Supermix,644,,,35.3,29.1,412,14868,,,,,,15280,,,,,,,,,,,,,,,,,,1,1,5533,11137,3486.6,3692.9,"",,,,33.7,30.6,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","WO-UN-U-2",Ch1Unknown,"dsrAB","OK",196,QX200 ddPCR EvaGreen Supermix,3920,,,204,188,2357,13028,,,,,,15385,,,,,,,,,,,,,,,,,,1,1,6593,11752,3587.8,4838.5,"",,,,199.7,191.6,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","SM-CT-A-3",Ch1Unknown,"dsrAB","OK",8.4,QX200 ddPCR EvaGreen Supermix,168,,,10,6.8,107,14854,,,,,,14961,,,,,,,,,,,,,,,,,,1,1,6036,11444,4241.9,4293.4,"",,,,9.3,7.6,,,,,,,,,,,,,
