Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirK","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,14750,0,0,0,14750,0,14750,,,,,,,,,,,,,,,,,,1,1,0,0,6359.4,6359.4,"Absolute Quantification Experiment",,,,,,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","SM-NT-A-1 (1:10)",Ch1Unknown,"nirK","OK",12.4,QX200 ddPCR EvaGreen Supermix,248,,,14.4,10.3,142,13431,141,1,90,13341,12.3,13573,,,,,,,,0.61,,,0.74,0.48,38,,,42.9,33.1,1,1,7634,11762,5919.8,5980.9,"Absolute Quantification Experiment",,,,13.4,11.3,,,,,,,0.68,0.55,,,40.5,35.5,
"A03",Absolute Quantification,"ABS","SM-UN-U-2 (1:50)",Ch1Unknown,"nirK","OK",53.9,QX200 ddPCR EvaGreen Supermix,1078,,,58.1,49.6,614,13105,612,2,327,12778,53.7,13719,,,,,,,,0.65,,,0.71,0.58,39.2,,,41.7,36.8,1,1,7784,12498,5600.7,5909.3,"Absolute Quantification Experiment",,,,56,51.7,,,,,,,0.679,0.612,,,40.5,38,
"A04",Absolute Quantification,"ABS","CREC-CT-U-3 (1:50)",Ch1Unknown,"nirK","OK",55.5,QX200 ddPCR EvaGreen Supermix,1110,,,59.8,51.2,635,13156,630,5,412,12744,55,13791,,,,,,,,0.6,,,0.66,0.54,37.5,,,39.8,35.2,1,1,7216,10685,5374.9,5619.4,"Absolute Quantification Experiment",,,,57.7,53.3,,,,,,,0.63,0.57,,,38.7,36.3,
"A05",Absolute Quantification,"ABS","CREC-CT-U-2 (1:50)",Ch1Unknown,"nirK","OK",64.5,QX200 ddPCR EvaGreen Supermix,1290,,,69.1,60,774,13724,766,8,534,13190,63.8,14498,,,,,,,,0.58,,,0.64,0.53,36.9,,,38.9,34.8,1,1,7338,11253,5267.4,5587,"Absolute Quantification Experiment",,,,66.9,62.2,,,,,,,0.611,0.557,,,37.9,35.8,
"A06",Absolute Quantification,"ABS","GR-NT-C-1 (1:50)",Ch1Unknown,"nirK","OK",86,QX200 ddPCR EvaGreen Supermix,1720,,,91,81,992,13081,985,7,754,12327,85.3,14073,,,,,,,,0.554,,,0.597,0.511,35.7,,,37.4,33.9,1,1,7775,12111,5255.9,5739.1,"Absolute Quantification Experiment",,,,88.7,83.3,,,,,,,0.576,0.532,,,36.6,34.7,
"A07",Absolute Quantification,"ABS","GR-NT-S-1 (1:50)",Ch1Unknown,"nirK","OK",71,QX200 ddPCR EvaGreen Supermix,1420,,,76,66,709,11362,706,3,397,10965,70.9,12071,,,,,,,,0.63,,,0.69,0.57,38.7,,,41,36.5,1,1,7450,12388,5042.8,5474.2,"",,,,73.9,68.5,,,,,,,0.662,0.601,,,39.9,37.6,
"A08",Absolute Quantification,"ABS","WO-NT-U-3 (1:50)",Ch1Unknown,"nirK","OK",89,QX200 ddPCR EvaGreen Supermix,1780,,,94,83,1059,13504,1052,7,724,12780,88.2,14563,,,,,,,,0.581,,,0.625,0.536,36.7,,,38.5,35,1,1,7398,11308,5021.5,5478.7,"Absolute Quantification Experiment",,,,91.6,86.1,,,,,,,0.603,0.558,,,37.6,35.8,
"B01",Absolute Quantification,"ABS","SM-CT-A-1 (1:10)",Ch1Unknown,"nirK","OK",23.4,QX200 ddPCR EvaGreen Supermix,468,,,26.1,20.7,294,14622,293,1,195,14427,23.3,14916,,,,,,,,0.6,,,0.69,0.51,37.4,,,40.8,34.1,1,1,8337,13468,6296.5,6437.9,"Absolute Quantification Experiment",,,,24.8,22.1,,,,,,,0.643,0.554,,,39.2,35.7,
"B02",Absolute Quantification,"ABS","SM-NT-A-2 (1:10)",Ch1Unknown,"nirK","OK",51.9,QX200 ddPCR EvaGreen Supermix,1038,,,55.8,48,667,14789,664,3,450,14339,51.7,15456,,,,,,,,0.59,,,0.65,0.53,37.1,,,39.3,34.9,1,1,8122,12736,5841.9,6139.4,"Absolute Quantification Experiment",,,,53.9,49.9,,,,,,,0.619,0.561,,,38.2,36,
"B03",Absolute Quantification,"ABS","SM-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",67.8,QX200 ddPCR EvaGreen Supermix,1356,,,72.6,63.1,792,13345,787,5,544,12801,67.4,14137,,,,,,,,0.58,,,0.63,0.53,36.8,,,38.9,34.8,1,1,8009,12371,5710.8,6084,"Absolute Quantification Experiment",,,,70.2,65.4,,,,,,,0.609,0.557,,,37.9,35.8,
"B04",Absolute Quantification,"ABS","CREC-CT-U-3 (1:50)",Ch1Unknown,"nirK","OK",71.5,QX200 ddPCR EvaGreen Supermix,1430,,,76.3,66.8,876,13977,869,7,610,13367,70.9,14853,,,,,,,,0.58,,,0.628,0.531,36.7,,,38.6,34.7,1,1,7379,10815,5407.3,5726.2,"Absolute Quantification Experiment",,,,73.9,69.1,,,,,,,0.604,0.555,,,37.7,35.7,
"B05",Absolute Quantification,"ABS","CREC-NT-U-1 (1:50)",Ch1Unknown,"nirK","OK",51.1,QX200 ddPCR EvaGreen Supermix,1022,,,55.1,47.1,621,13988,616,5,436,13552,50.7,14609,,,,,,,,0.58,,,0.64,0.52,36.8,,,39.1,34.5,1,1,7163,10962,5252.2,5494.9,"Absolute Quantification Experiment",,,,53.2,49.1,,,,,,,0.611,0.552,,,37.9,35.6,
"B06",Absolute Quantification,"ABS","GR-NT-C-2 (1:50)",Ch1Unknown,"nirK","OK",49.5,QX200 ddPCR EvaGreen Supermix,990,,,53.5,45.4,575,13394,572,3,424,12970,49.2,13969,,,,,,,,0.57,,,0.63,0.51,36.2,,,38.6,33.9,1,1,7354,11348,5181.1,5435,"Absolute Quantification Experiment",,,,51.5,47.4,,,,,,,0.598,0.538,,,37.4,35,
"B07",Absolute Quantification,"ABS","GR-NT-S-2 (1:50)",Ch1Unknown,"nirK","OK",93,QX200 ddPCR EvaGreen Supermix,1860,,,99,87,936,11435,932,4,654,10781,92.1,12371,,,,,,,,0.573,,,0.62,0.527,36.4,,,38.3,34.6,1,1,7798,12491,5158.9,5713.7,"",,,,95.6,89.5,,,,,,,0.597,0.55,,,37.4,35.5,
"B08",Absolute Quantification,"ABS","WO-NT-U-3 (1:50)",Ch1Unknown,"nirK","OK",78.6,QX200 ddPCR EvaGreen Supermix,1572,,,83.5,73.8,1009,14596,1002,7,783,13813,78,15605,,,,,,,,0.55,,,0.593,0.508,35.5,,,37.3,33.7,1,1,7542,11697,5100,5526.6,"Absolute Quantification Experiment",,,,81.1,76.2,,,,,,,0.572,0.529,,,36.4,34.6,
"C01",Absolute Quantification,"ABS","SM-CT-A-2 (1:10)",Ch1Unknown,"nirK","OK",20.9,QX200 ddPCR EvaGreen Supermix,418,,,23.5,18.2,241,13462,240,1,184,13278,20.8,13703,,,,,,,,0.56,,,0.65,0.48,36.1,,,39.7,32.4,1,1,8237,13020,6320,6437.9,"Absolute Quantification Experiment",,,,22.2,19.5,,,,,,,0.61,0.519,,,37.9,34.2,
"C02",Absolute Quantification,"ABS","SM-NT-A-3 (1:10)",Ch1Unknown,"nirK","OK",17.1,QX200 ddPCR EvaGreen Supermix,342,,,19.3,14.9,226,15435,226,0,145,15290,17.1,15661,,,,,,,,0.61,,,0.71,0.51,37.7,,,41.6,33.9,1,1,7488,11897,5816.7,5904.4,"Absolute Quantification Experiment",,,,18.2,16,,,,,,,0.66,0.56,,,39.7,35.8,
"C03",Absolute Quantification,"ABS","SM-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",72.2,QX200 ddPCR EvaGreen Supermix,1444,,,77,67.4,873,13802,869,4,658,13144,71.8,14675,,,,,,,,0.558,,,0.605,0.512,35.8,,,37.7,33.9,1,1,7880,11934,5640.4,6014.8,"Absolute Quantification Experiment",,,,74.6,69.7,,,,,,,0.582,0.535,,,36.8,34.8,
"C04",Absolute Quantification,"ABS","CREC-MT-U-1 (1:50)",Ch1Unknown,"nirK","OK",37.5,QX200 ddPCR EvaGreen Supermix,750,,,41,34.1,468,14432,467,1,291,14141,37.5,14900,,,,,,,,0.61,,,0.68,0.54,37.9,,,40.6,35.2,1,1,7418,11680,5413.7,5610.6,"Absolute Quantification Experiment",,,,39.3,35.8,,,,,,,0.647,0.575,,,39.3,36.6,
"C05",Absolute Quantification,"ABS","CREC-NT-U-2 (1:50)",Ch1Unknown,"nirK","OK",53.2,QX200 ddPCR EvaGreen Supermix,1064,,,57.4,49.1,639,13807,631,8,392,13415,52.5,14446,,,,,,,,0.62,,,0.68,0.56,38.1,,,40.4,35.8,1,1,7160,10779,5265.8,5509.6,"Absolute Quantification Experiment",,,,55.3,51.1,,,,,,,0.647,0.585,,,39.3,36.9,
