Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirS","Manual",0.16,QX200 ddPCR EvaGreen Supermix,3.2,,,0.53,0.02,2,14326,2,0,249,14077,0.164,14328,,,,,,,,,,,,,,,,,,1,1,6000,6206.8,3287.8,3288.2,"",,,,0.32,0.07,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","SM-NT-A-1 (1:10)",Ch1Unknown,"nirS","Manual",16.7,QX200 ddPCR EvaGreen Supermix,334,,,19.1,14.3,188,13136,188,0,67,13069,16.7,13324,,,,,,,,0.74,,,0.87,0.6,42.4,,,47,37.8,1,1,6000,12834,3152.1,3288.7,"",,,,17.9,15.5,,,,,,,0.81,0.66,,,44.7,40,
"A03",Absolute Quantification,"ABS","SM-UN-U-2 (1:50)",Ch1Unknown,"nirS","Manual",1.2,QX200 ddPCR EvaGreen Supermix,24,,,1.9,0.7,14,13721,14,0,92,13629,1.2,13735,,,,,,,,0.13,,,0.21,0.06,12,,,17,6,1,1,6000,12418,2872.1,2881.8,"",,,,1.55,0.91,,,,,,,0.169,0.094,,,14.6,8.7,
"A04",Absolute Quantification,"ABS","CREC-CT-U-3 (1:50)",Ch1Unknown,"nirS","Manual",2.6,QX200 ddPCR EvaGreen Supermix,52,,,3.6,1.7,29,13279,29,0,42,13237,2.57,13308,,,,,,,,0.41,,,0.59,0.23,29,,,38,20,1,1,6000,12148,2726.2,2746.7,"",,,,3.07,2.12,,,,,,,0.5,0.32,,,33.5,24.4,
"A05",Absolute Quantification,"ABS","CREC-NT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",1.4,QX200 ddPCR EvaGreen Supermix,28,,,2.2,0.9,18,14711,18,0,76,14635,1.44,14729,,,,,,,,0.19,,,0.29,0.09,16,,,23,9,1,1,6000,12646,2597.5,2609.7,"",,,,1.8,1.13,,,,,,,0.24,0.142,,,19.5,12.6,
"A06",Absolute Quantification,"ABS","GR-NT-C-2 (1:50)",Ch1Unknown,"nirS","Manual",8.1,QX200 ddPCR EvaGreen Supermix,162,,,9.8,6.5,94,13656,94,0,69,13587,8.07,13750,,,,,,,,0.58,,,0.72,0.43,37,,,42,31,1,1,6000,12384,2543.5,2610.8,"",,,,8.9,7.3,,,,,,,0.65,0.5,,,39.5,33.5,
"A07",Absolute Quantification,"ABS","GR-NT-S-2 (1:50)",Ch1Unknown,"nirS","Manual",13,QX200 ddPCR EvaGreen Supermix,260,,,15.1,11,155,13930,155,0,45,13885,13,14085,,,,,,,,0.77,,,0.94,0.61,44,,,49,38,1,1,6000,12327,2500.8,2608.9,"",,,,14.1,12,,,,,,,0.86,0.69,,,46.3,41,
"A08",Absolute Quantification,"ABS","WO-NT-U-2 (1:50)",Ch1Unknown,"nirS","Manual",29.9,QX200 ddPCR EvaGreen Supermix,598,,,32.7,27,414,16104,414,0,71,16033,29.9,16518,,,,,,,,0.85,,,0.96,0.74,46,,,49.3,42.7,1,1,6000,12790,2489.8,2748,"",,,,31.3,28.4,,,,,,,0.91,0.79,,,47.7,44.3,
"B01",Absolute Quantification,"ABS","SM-CT-A-1 (1:10)",Ch1Negative Control,"nirS","Manual",37.2,QX200 ddPCR EvaGreen Supermix,744,,,40.6,33.7,446,13887,446,0,58,13829,37.2,14333,,,,,,,,,,,,,,,,,,1,1,6000,12801,3247.6,3544.9,"",,,,39,35.4,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","SM-NT-A-2 (1:10)",Ch1Unknown,"nirS","Manual",39.4,QX200 ddPCR EvaGreen Supermix,788,,,42.9,35.9,481,14120,481,0,71,14049,39.4,14601,,,,,,,,0.87,,,0.98,0.76,46.5,,,49.5,43.5,1,1,6000,12750,3120,3437.2,"",,,,41.2,37.6,,,,,,,0.92,0.81,,,48.1,44.9,
"B03",Absolute Quantification,"ABS","SM-UN-U-3 (1:50)",Ch1Unknown,"nirS","Manual",1.3,QX200 ddPCR EvaGreen Supermix,26,,,2.1,0.8,18,15736,18,0,69,15667,1.34,15754,,,,,,,,0.21,,,0.31,0.1,17,,,24,10,1,1,6000,12750,2855.2,2866.5,"",,,,1.69,1.05,,,,,,,0.26,0.15,,,20.8,13.4,
"B04",Absolute Quantification,"ABS","CREC-MT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",1.2,QX200 ddPCR EvaGreen Supermix,24,,,2,0.7,14,13492,14,0,89,13403,1.22,13506,,,,,,,,0.14,,,0.21,0.06,12,,,18,6,1,1,6000,10746,2712.7,2721,"",,,,1.58,0.92,,,,,,,0.174,0.097,,,14.9,8.9,
"B05",Absolute Quantification,"ABS","CREC-NT-U-2 (1:50)",Ch1Unknown,"nirS","Manual",1,QX200 ddPCR EvaGreen Supermix,20,,,1.7,0.5,11,13368,11,0,82,13286,0.968,13379,,,,,,,,0.12,,,0.19,0.04,11,,,17,5,1,1,6000,9959.9,2567.1,2573.1,"",,,,1.29,0.7,,,,,,,0.156,0.08,,,13.6,7.5,
"B06",Absolute Quantification,"ABS","GR-NT-C-3 (1:50)",Ch1Unknown,"nirS","Manual",18.1,QX200 ddPCR EvaGreen Supermix,362,,,20.6,15.7,209,13462,209,0,62,13400,18.1,13671,,,,,,,,0.77,,,0.91,0.63,43.5,,,47.9,39.1,1,1,6000,11971,2564.6,2708.4,"",,,,19.4,16.9,,,,,,,0.84,0.7,,,45.7,41.2,
"B07",Absolute Quantification,"ABS","GR-NT-S-3 (1:50)",Ch1Unknown,"nirS","Manual",2.6,QX200 ddPCR EvaGreen Supermix,52,,,3.6,1.8,31,14146,31,0,57,14089,2.58,14177,,,,,,,,0.35,,,0.5,0.21,26,,,34,18,1,1,6000,12142,2500.4,2521.5,"",,,,3.07,2.14,,,,,,,0.42,0.28,,,30,22,
"B08",Absolute Quantification,"ABS","WO-NT-U-3 (1:50)",Ch1Unknown,"nirS","Manual",9.9,QX200 ddPCR EvaGreen Supermix,198,,,11.5,8.3,145,17241,145,0,69,17172,9.85,17386,,,,,,,,0.68,,,0.82,0.53,40,,,45,35,1,1,6000,12883,2446.1,2533.2,"",,,,10.7,9,,,,,,,0.75,0.6,,,42.9,37.8,
