Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","water",Ch1Negative Control,"gltA","Manual",0.28,QX200 ddPCR EvaGreen Supermix,5.6,,,0.89,0.12,2,8451,,,,,,8453,,,,,,,,,,,,,,,,,,1,1,7416,8036,5405.3,5405.9,"",,,,0.54,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","SM-CT-A-1",Ch1Unknown,"gltA","Manual",63.9,QX200 ddPCR EvaGreen Supermix,1278,,,68.7,61.5,676,12109,,,,,,12785,,,,,,,,,,,,,,,,,,1,1,7416,12501,6206.3,6539.1,"",,,,66,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","SM-CT-A-2",Ch1Unknown,"gltA","Manual",67.4,QX200 ddPCR EvaGreen Supermix,1348,,,72.2,64.9,746,12653,,,,,,13399,,,,,,,,,,,,,,,,,,1,1,7416,13294,6016.5,6421.7,"",,,,70,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","SM-CT-A-3",Ch1Unknown,"gltA","Manual",54.8,QX200 ddPCR EvaGreen Supermix,1096,,,59.1,52.5,614,12889,,,,,,13503,,,,,,,,,,,,,,,,,,1,1,7416,12750,5754.9,6073,"",,,,57,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","SM-CT-U-1",Ch1Unknown,"gltA","Manual",63.8,QX200 ddPCR EvaGreen Supermix,1276,,,68.6,61.4,691,12394,,,,,,13085,,,,,,,,,,,,,,,,,,1,1,7416,13234,5938.1,6323.4,"",,,,66,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","SM-CT-U-2",Ch1Unknown,"gltA","Manual",58,QX200 ddPCR EvaGreen Supermix,1160,,,62.4,55.7,657,13001,,,,,,13658,,,,,,,,,,,,,,,,,,1,1,7416,12260,6236.4,6526.1,"",,,,60,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","SM-CT-U-3",Ch1Unknown,"gltA","Manual",4.5,QX200 ddPCR EvaGreen Supermix,90,,,5.8,3.9,53,13979,,,,,,14032,,,,,,,,,,,,,,,,,,1,1,7416,11590,6086.9,6107.7,"",,,,5.1,0,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","SM-CT-U-3",Ch1Unknown,"gltA","Manual",3.2,QX200 ddPCR EvaGreen Supermix,64,,,4.3,2.7,37,13591,,,,,,13628,,,,,,,,,,,,,,,,,,1,1,7416,12714,5665.3,5684.5,"",,,,3.8,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","SM-NT-A-1",Ch1Unknown,"gltA","Manual",51,QX200 ddPCR EvaGreen Supermix,1020,,,55.1,48.9,594,13419,,,,,,14013,,,,,,,,,,,,,,,,,,1,1,7416,12135,5983.6,6244.3,"",,,,53,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","SM-NT-A-2",Ch1Unknown,"gltA","Manual",91,QX200 ddPCR EvaGreen Supermix,1820,,,96.6,88.2,1050,13050,,,,,,14100,,,,,,,,,,,,,,,,,,1,1,7416,12129,6086.3,6536.3,"",,,,94,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","SM-NT-A-3",Ch1Unknown,"gltA","Manual",29.1,QX200 ddPCR EvaGreen Supermix,582,,,32.1,27.5,361,14431,,,,,,14792,,,,,,,,,,,,,,,,,,1,1,7416,12242,5203.3,5375.1,"",,,,31,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","SM-NT-A-3",Ch1Unknown,"gltA","Manual",41.9,QX200 ddPCR EvaGreen Supermix,838,,,45.4,40.2,567,15634,,,,,,16201,,,,,,,,,,,,,,,,,,1,1,7416,12093,5576.1,5804.2,"",,,,44,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","SM-NT-U-1",Ch1Unknown,"gltA","Manual",18.1,QX200 ddPCR EvaGreen Supermix,362,,,20.5,16.9,223,14359,,,,,,14582,,,,,,,,,,,,,,,,,,1,1,7416,12074,5352.2,5455,"",,,,19,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","SM-NT-U-2",Ch1Unknown,"gltA","Manual",22.9,QX200 ddPCR EvaGreen Supermix,458,,,25.6,21.5,277,14086,,,,,,14363,,,,,,,,,,,,,,,,,,1,1,7416,12091,5748.1,5870.5,"",,,,24,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","SM-NT-U-3",Ch1Unknown,"gltA","Manual",60.7,QX200 ddPCR EvaGreen Supermix,1214,,,65.1,58.5,739,13958,,,,,,14697,,,,,,,,,,,,,,,,,,1,1,7416,13451,5829.2,6212.5,"",,,,63,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","SM-NT-U-3",Ch1Unknown,"gltA","Manual",66.8,QX200 ddPCR EvaGreen Supermix,1336,,,71.4,64.5,821,14051,,,,,,14872,,,,,,,,,,,,,,,,,,1,1,7416,13171,5442.6,5869.2,"",,,,69,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","SM-UN-U-1",Ch1Unknown,"gltA","Manual",50.9,QX200 ddPCR EvaGreen Supermix,1018,,,55,48.8,607,13727,,,,,,14334,,,,,,,,,,,,,,,,,,1,1,7416,11616,5316.5,5583.2,"",,,,53,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","SM-UN-U-2",Ch1Unknown,"gltA","Manual",76.3,QX200 ddPCR EvaGreen Supermix,1526,,,81.4,73.8,884,13190,,,,,,14074,,,,,,,,,,,,,,,,,,1,1,7416,12238,5604.5,6021.2,"",,,,79,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","SM-UN-U-3",Ch1Unknown,"gltA","Manual",63.4,QX200 ddPCR EvaGreen Supermix,1268,,,68,61.1,743,13410,,,,,,14153,,,,,,,,,,,,,,,,,,1,1,7416,12053,5705.6,6038.9,"",,,,66,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","SM-UN-U-3",Ch1Unknown,"gltA","Manual",68.2,QX200 ddPCR EvaGreen Supermix,1364,,,72.9,65.8,810,13577,,,,,,14387,,,,,,,,,,,,,,,,,,1,1,7416,12040,5213.7,5598,"",,,,71,0,,,,,,,,,,,,,
