Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","water",Ch1Negative Control,"gltA","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,12234,,,,,,12234,,,,,,,,,,,,,,,,,,1,1,0,0,6694.5,6694.5,"",,,,,,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","CREC-MT-U-1",Ch1Unknown,"gltA","Manual",51.7,QX200 ddPCR EvaGreen Supermix,1034,,,56.1,49.5,548,12191,,,,,,12739,,,,,,,,,,,,,,,,,,1,1,6214,11705,5520.3,5786.3,"",,,,54,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","CREC-NT-U-1",Ch1Unknown,"gltA","Manual",22,QX200 ddPCR EvaGreen Supermix,440,,,24.7,19.4,269,14219,,,,,,14488,,,,,,,,,,,,,,,,,,1,1,6214,11493,4067.9,4205.8,"",,,,23.4,20.7,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","GR-NT-C-1",Ch1Unknown,"gltA","Manual",131,QX200 ddPCR EvaGreen Supermix,2620,,,138,128,1512,12794,,,,,,14306,,,,,,,,,,,,,,,,,,1,1,6946,13658,5379.1,6254,"",,,,130,20,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","GR-NT-S-1",Ch1Unknown,"gltA","Manual",166,QX200 ddPCR EvaGreen Supermix,3320,,,173,162,1805,11935,,,,,,13740,,,,,,,,,,,,,,,,,,1,1,6946,12373,5830.6,6690.1,"",,,,170,20,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","WO-NT-U-3",Ch1Unknown,"gltA","Manual",313,QX200 ddPCR EvaGreen Supermix,6260,,,323,307,3689,12119,,,,,,15808,,,,,,,,,,,,,,,,,,1,1,6410,11406,5902.8,7187.2,"",,,,320,20,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","CREC-CT-A-1",Ch1Unknown,"gltA","Manual",0.3,QX200 ddPCR EvaGreen Supermix,6,,,0.79,0.16,3,11810,,,,,,11813,,,,,,,,,,,,,,,,,,1,1,6214,16292,2523,2526.5,"",,,,0,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","CREC-MT-U-2",Ch1Unknown,"gltA","Manual",56.6,QX200 ddPCR EvaGreen Supermix,1132,,,60.9,54.4,654,13270,,,,,,13924,,,,,,,,,,,,,,,,,,1,1,6214,11827,5127.2,5441.9,"",,,,59,21,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","CREC-NT-U-2",Ch1Unknown,"gltA","Manual",45.4,QX200 ddPCR EvaGreen Supermix,908,,,49.2,41.7,559,14197,,,,,,14756,,,,,,,,,,,,,,,,,,1,1,6214,11311,4941.3,5182.6,"",,,,47.4,43.5,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","GR-NT-C-2",Ch1Unknown,"gltA","Manual",80,QX200 ddPCR EvaGreen Supermix,1600,,,85.1,77.4,945,13437,,,,,,14382,,,,,,,,,,,,,,,,,,1,1,6946,13039,5909,6377.5,"",,,,83,44,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","GR-NT-S-2",Ch1Unknown,"gltA","Manual",129.9,QX200 ddPCR EvaGreen Supermix,2598,,,136.5,126.6,1518,13003,,,,,,14521,,,,,,,,,,,,,,,,,,1,1,6946,13002,5096.1,5922.6,"",,,,133,44,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","WO-NT-U-3",Ch1Unknown,"gltA","Manual",202,QX200 ddPCR EvaGreen Supermix,4040,,,210,198,2462,13148,,,,,,15610,,,,,,,,,,,,,,,,,,1,1,6410,11904,5502.7,6512.4,"",,,,210,40,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","CREC-CT-A-2",Ch1Unknown,"gltA","Manual",6.9,QX200 ddPCR EvaGreen Supermix,138,,,8.7,6.1,69,11646,,,,,,11715,,,,,,,,,,,,,,,,,,1,1,6214,10519,3566.5,3607.4,"",,,,0,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","CREC-MT-U-3",Ch1Unknown,"gltA","Manual",91,QX200 ddPCR EvaGreen Supermix,1820,,,96.4,88.3,1091,13564,,,,,,14655,,,,,,,,,,,,,,,,,,1,1,6214,10074,5747.8,6069.9,"",,,,94,44,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","CREC-NT-U-3",Ch1Unknown,"gltA","Manual",94,QX200 ddPCR EvaGreen Supermix,1880,,,100,89,1154,13825,,,,,,14979,,,,,,,,,,,,,,,,,,1,1,6214,10682,5751.6,6131.5,"",,,,97.1,91.5,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","GR-NT-C-2",Ch1Unknown,"gltA","Manual",8.2,QX200 ddPCR EvaGreen Supermix,164,,,9.6,7.4,120,17252,,,,,,17372,,,,,,,,,,,,,,,,,,1,1,6946,9351.1,1904.4,1955.8,"",,,,0,0,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","GR-NT-S-3",Ch1Unknown,"gltA","Manual",123.9,QX200 ddPCR EvaGreen Supermix,2478,,,130,120.8,1580,14225,,,,,,15805,,,,,,,,,,,,,,,,,,1,1,6946,12340,5430.9,6121.6,"",,,,127,92,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","WO-UN-U-1",Ch1Unknown,"gltA","Manual",90.7,QX200 ddPCR EvaGreen Supermix,1814,,,95.9,88.1,1185,14783,,,,,,15968,,,,,,,,,,,,,,,,,,1,1,6410,10475,4608.6,5044,"",,,,93.4,91.5,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","CREC-CT-A-3",Ch1Unknown,"gltA","Manual",84.3,QX200 ddPCR EvaGreen Supermix,1686,,,89.7,81.6,938,12622,,,,,,13560,,,,,,,,,,,,,,,,,,1,1,6214,11661,5419.2,5850.9,"",,,,0,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","CREC-MT-U-3",Ch1Unknown,"gltA","Manual",251,QX200 ddPCR EvaGreen Supermix,5020,,,260,247,2975,12498,,,,,,15473,,,,,,,,,,,,,,,,,,1,1,6214,11054,5264.2,6377.5,"",,,,260,90,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","CREC-UN-U-1",Ch1Unknown,"gltA","Manual",317,QX200 ddPCR EvaGreen Supermix,6340,,,327,307,3623,11713,,,,,,15336,,,,,,,,,,,,,,,,,,1,1,7187,12269,5957.7,7448.6,"",,,,322,312,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","GR-NT-C-3",Ch1Unknown,"gltA","Manual",49.3,QX200 ddPCR EvaGreen Supermix,986,,,53.4,47.2,559,13056,,,,,,13615,,,,,,,,,,,,,,,,,,1,1,6946,13188,5096.2,5428.4,"",,,,0,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","WO-CT-U-1",Ch1Unknown,"gltA","Manual",91.8,QX200 ddPCR EvaGreen Supermix,1836,,,97,89.1,1186,14616,,,,,,15802,,,,,,,,,,,,,,,,,,1,1,6410,11762,5053.3,5556.8,"",,,,0,0,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","WO-UN-U-2",Ch1Unknown,"gltA","Manual",628,QX200 ddPCR EvaGreen Supermix,12560,,,643,620,6524,9254,,,,,,15778,,,,,,,,,,,,,,,,,,1,1,6410,13128,5397.3,8593.9,"",,,,640,310,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","CREC-CT-U-1",Ch1Unknown,"gltA","Manual",32.6,QX200 ddPCR EvaGreen Supermix,652,,,35.9,30.9,375,13351,,,,,,13726,,,,,,,,,,,,,,,,,,1,1,6214,11792,5158.4,5339.6,"",,,,0,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","CREC-NT-A-1",Ch1Unknown,"gltA","Manual",208,QX200 ddPCR EvaGreen Supermix,4160,,,216,203,2512,13019,,,,,,15531,,,,,,,,,,,,,,,,,,1,1,6214,10943,5562.2,6432.5,"",,,,0,0,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","CREC-UN-U-2",Ch1Unknown,"gltA","Manual",91,QX200 ddPCR EvaGreen Supermix,1820,,,96,86,1094,13600,,,,,,14694,,,,,,,,,,,,,,,,,,1,1,7187,12081,5867.5,6330.1,"",,,,93.8,88.3,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","GR-NT-F-1",Ch1Unknown,"gltA","Manual",240,QX200 ddPCR EvaGreen Supermix,4800,,,249,235,2731,12079,,,,,,14810,,,,,,,,,,,,,,,,,,1,1,6946,13734,5419.6,6952.8,"",,,,240,90,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","WO-CT-U-3",Ch1Unknown,"gltA","Manual",82.9,QX200 ddPCR EvaGreen Supermix,1658,,,88.1,80.2,967,13250,,,,,,14217,,,,,,,,,,,,,,,,,,1,1,6410,11626,4949.7,5403.8,"",,,,0,0,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","WO-UN-U-3",Ch1Unknown,"gltA","Manual",371,QX200 ddPCR EvaGreen Supermix,7420,,,383,365,3806,10277,,,,,,14083,,,,,,,,,,,,,,,,,,1,1,6410,12789,5171.7,7230.3,"",,,,380,90,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","CREC-CT-U-2",Ch1Unknown,"gltA","Manual",61.7,QX200 ddPCR EvaGreen Supermix,1234,,,66.4,59.4,668,12397,,,,,,13065,,,,,,,,,,,,,,,,,,1,1,6214,11365,5614.6,5908.6,"",,,,0,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","CREC-NT-A-2",Ch1Unknown,"gltA","Manual",161,QX200 ddPCR EvaGreen Supermix,3220,,,168,157,1990,13608,,,,,,15598,,,,,,,,,,,,,,,,,,1,1,6214,11499,5582,6336.9,"",,,,164,88,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","CREC-UN-U-3",Ch1Unknown,"gltA","Manual",237,QX200 ddPCR EvaGreen Supermix,4740,,,246,228,2775,12425,,,,,,15200,,,,,,,,,,,,,,,,,,1,1,7187,11816,6420.9,7405.8,"",,,,241.7,232.7,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","GR-NT-F-2",Ch1Unknown,"gltA","Manual",76.3,QX200 ddPCR EvaGreen Supermix,1526,,,81.1,73.9,998,14888,,,,,,15886,,,,,,,,,,,,,,,,,,1,1,6946,11705,5723.9,6099.6,"",,,,0,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","WO-CT-U-2",Ch1Unknown,"gltA","Manual",125.4,QX200 ddPCR EvaGreen Supermix,2508,,,131.6,122.2,1574,13997,,,,,,15571,,,,,,,,,,,,,,,,,,1,1,6410,11891,5167.3,5847,"",,,,0,0,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","WO-UN-U-3",Ch1Unknown,"gltA","Manual",225,QX200 ddPCR EvaGreen Supermix,4500,,,234,221,2711,12863,,,,,,15574,,,,,,,,,,,,,,,,,,1,1,6410,12947,4291.7,5798.4,"",,,,0,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","CREC-CT-U-3",Ch1Unknown,"gltA","Manual",29.9,QX200 ddPCR EvaGreen Supermix,598,,,33.1,28.3,347,13461,,,,,,13808,,,,,,,,,,,,,,,,,,1,1,6214,12057,4934.4,5113.4,"",,,,0,0,,,,,,,,,,,,,
